item_description,item_description,,,,,,,,,,,
ADISSAGE-BLACK/BLACK/RUNWHT,ADISSAGE BLACK/BLACK/RUNWHT,ADISSAGE,BLACK/BLACK/RUNWHT,,,,,,,,,2
ADISSAGE-N.NAVY/N.NAVY/RUNWHT,ADISSAGE N.NAVY/N.NAVY/RUNWHT,ADISSAGE,N.NAVY/N.NAVY/RUNWHT,,,,,,,,,2
3 STRIPE D 29.5-BASKETBALL NATURAL,3 STRIPE D 29.5 BASKETBALL NATURAL,3,STRIPE,D,29.5,BASKETBALL,NATURAL,,,,,6
3S RUBBER X-BLACK,3S RUBBER X BLACK,3S,RUBBER,X,BLACK,,,,,,,4
ADILETTE-BLACK1/WHT/BLACK1,ADILETTE BLACK1/WHT/BLACK1,ADILETTE,BLACK1/WHT/BLACK1,,,,,,,,,2
ADILETTE-WHITE,ADILETTE WHITE,ADILETTE,WHITE,,,,,,,,,2
TANGO ROSARIO-WHITE,TANGO ROSARIO WHITE,TANGO,ROSARIO,WHITE,,,,,,,,3
CFC SCARF-CHEBLU/WHITE,CFC SCARF CHEBLU/WHITE,CFC,SCARF,CHEBLU/WHITE,,,,,,,,3
DFB H JSY Y-WHITE/BLACK,DFB H JSY Y WHITE/BLACK,DFB,H,JSY,Y,WHITE/BLACK,,,,,,5
3S PER N-S HC3P-BLACK/BLACK/WHITE,3S PER N S HC3P BLACK/BLACK/WHITE,3S,PER,N,S,HC3P,BLACK/BLACK/WHITE,,,,,6
3S PER AN HC 3P-WHITE/WHITE/BLACK,3S PER AN HC 3P WHITE/WHITE/BLACK,3S,PER,AN,HC,3P,WHITE/WHITE/BLACK,,,,,6
3S PER AN HC 3P-BLACK/BLACK/BLACK,3S PER AN HC 3P BLACK/BLACK/BLACK,3S,PER,AN,HC,3P,BLACK/BLACK/BLACK,,,,,6
3S PER AN HC 1P-WHITE/WHITE/BLACK,3S PER AN HC 1P WHITE/WHITE/BLACK,3S,PER,AN,HC,1P,WHITE/WHITE/BLACK,,,,,6
3S PER AN HC 1P-BLACK/BLACK/WHITE,3S PER AN HC 1P BLACK/BLACK/WHITE,3S,PER,AN,HC,1P,BLACK/BLACK/WHITE,,,,,6
3S PER CR HC 3P-WHITE/WHITE/WHITE,3S PER CR HC 3P WHITE/WHITE/WHITE,3S,PER,CR,HC,3P,WHITE/WHITE/WHITE,,,,,6
3S PER CR HC 3P-BLACK/BLACK/WHITE,3S PER CR HC 3P BLACK/BLACK/WHITE,3S,PER,CR,HC,3P,BLACK/BLACK/WHITE,,,,,6
3S PER CR HC 1P-WHITE/WHITE/BLACK,3S PER CR HC 1P WHITE/WHITE/BLACK,3S,PER,CR,HC,1P,WHITE/WHITE/BLACK,,,,,6
3S PER CR HC 1P-BLACK/BLACK/WHITE,3S PER CR HC 1P BLACK/BLACK/WHITE,3S,PER,CR,HC,1P,BLACK/BLACK/WHITE,,,,,6
3S PER CR HC 1P-MGREYH/MGREYH/BLACK,3S PER CR HC 1P MGREYH/MGREYH/BLACK,3S,PER,CR,HC,1P,MGREYH/MGREYH/BLACK,,,,,6
PER NO-SH T 3PP-WHITE/WHITE/WHITE,PER NO SH T 3PP WHITE/WHITE/WHITE,PER,NO,SH,T,3PP,WHITE/WHITE/WHITE,,,,,6
PER NO-SH T 3PP-BLACK/BLACK/BLACK,PER NO SH T 3PP BLACK/BLACK/BLACK,PER,NO,SH,T,3PP,BLACK/BLACK/BLACK,,,,,6
PER NO-SH T 1PP-WHITE/WHITE/BLACK,PER NO SH T 1PP WHITE/WHITE/BLACK,PER,NO,SH,T,1PP,WHITE/WHITE/BLACK,,,,,6
PER NO-SH T 1PP-BLACK/BLACK/WHITE,PER NO SH T 1PP BLACK/BLACK/WHITE,PER,NO,SH,T,1PP,BLACK/BLACK/WHITE,,,,,6
PER NO-SH T 1PP-MGREYH/MGREYH/BLACK,PER NO SH T 1PP MGREYH/MGREYH/BLACK,PER,NO,SH,T,1PP,MGREYH/MGREYH/BLACK,,,,,6
PER ANKLE T 3PP-WHITE/WHITE/WHITE,PER ANKLE T 3PP WHITE/WHITE/WHITE,PER,ANKLE,T,3PP,WHITE/WHITE/WHITE,,,,,,5
PER ANKLE T 1PP-MGREYH/MGREYH/BLACK,PER ANKLE T 1PP MGREYH/MGREYH/BLACK,PER,ANKLE,T,1PP,MGREYH/MGREYH/BLACK,,,,,,5
AIS RB BRA A/B-FLARED/SUPPNK,AIS RB BRA A/B FLARED/SUPPNK,AIS,RB,BRA,A/B,FLARED/SUPPNK,,,,,,5
TREFOIL LINER-WHITE/BLACK/MGREYH,TREFOIL LINER WHITE/BLACK/MGREYH,TREFOIL,LINER,WHITE/BLACK/MGREYH,,,,,,,,3
MILANO 16 SOCK-DKBLUE/WHITE,MILANO 16 SOCK DKBLUE/WHITE,MILANO,16,SOCK,DKBLUE/WHITE,,,,,,,4
CFC ANTH JKT WO-CHEBLU/WHITE,CFC ANTH JKT WO CHEBLU/WHITE,CFC,ANTH,JKT,WO,CHEBLU/WHITE,,,,,,5
ALPHABOUNCE 1 W-TRASCA/NTNAVY/CHACOR,ALPHABOUNCE 1 W TRASCA/NTNAVY/CHACOR,ALPHABOUNCE,1,W,TRASCA/NTNAVY/CHACOR,,,,,,,4
ALPHABOUNCE 1 W-CBLACK/TRGRME/CARBON,ALPHABOUNCE 1 W CBLACK/TRGRME/CARBON,ALPHABOUNCE,1,W,CBLACK/TRGRME/CARBON,,,,,,,4
ALPHABOUNCE 1 W-GRETHR/GRETWO/CBLACK,ALPHABOUNCE 1 W GRETHR/GRETWO/CBLACK,ALPHABOUNCE,1,W,GRETHR/GRETWO/CBLACK,,,,,,,4
EQT BASK ADV W-FTWWHT/FTWWHT/ASHBLU,EQT BASK ADV W FTWWHT/FTWWHT/ASHBLU,EQT,BASK,ADV,W,FTWWHT/FTWWHT/ASHBLU,,,,,,5
NEMEZIZ TANGO 18.1 TR-FOOBLU/FOOBLU/FTWWHT,NEMEZIZ TANGO 18.1 TR FOOBLU/FOOBLU/FTWWHT,NEMEZIZ,TANGO,18.1,TR,FOOBLU/FOOBLU/FTWWHT,,,,,,5
NEMEZIZ TANGO 18.1 TR-ASHSIL/ASHSIL/WHITIN,NEMEZIZ TANGO 18.1 TR ASHSIL/ASHSIL/WHITIN,NEMEZIZ,TANGO,18.1,TR,ASHSIL/ASHSIL/WHITIN,,,,,,5
ULTRABOOST UNCAGED-RAWGRE/CHAPEA/BLUSPI,ULTRABOOST UNCAGED RAWGRE/CHAPEA/BLUSPI,ULTRABOOST,UNCAGED,RAWGRE/CHAPEA/BLUSPI,,,,,,,,3
ULTRABOOST-LEGINK/CARBON/BLUSPI,ULTRABOOST LEGINK/CARBON/BLUSPI,ULTRABOOST,LEGINK/CARBON/BLUSPI,,,,,,,,,2
ALPHABOUNCE CR CC M-GREFIV/GRETHR/FTWWHT,ALPHABOUNCE CR CC M GREFIV/GRETHR/FTWWHT,ALPHABOUNCE,CR,CC,M,GREFIV/GRETHR/FTWWHT,,,,,,5
ULTRABOOST LACELESS W-TECINK/RAWGRE/CBLACK,ULTRABOOST LACELESS W TECINK/RAWGRE/CBLACK,ULTRABOOST,LACELESS,W,TECINK/RAWGRE/CBLACK,,,,,,,4
ULTRABOOST W-TECINK/CARBON/BLUSPI,ULTRABOOST W TECINK/CARBON/BLUSPI,ULTRABOOST,W,TECINK/CARBON/BLUSPI,,,,,,,,3
ALPHABOUNCE BEYOND M-CBLACK/CBLACK/FTWWHT,ALPHABOUNCE BEYOND M CBLACK/CBLACK/FTWWHT,ALPHABOUNCE,BEYOND,M,CBLACK/CBLACK/FTWWHT,,,,,,,4
ALPHABOUNCE BEYOND M-FTWWHT/SILVMT/FTWWHT,ALPHABOUNCE BEYOND M FTWWHT/SILVMT/FTWWHT,ALPHABOUNCE,BEYOND,M,FTWWHT/SILVMT/FTWWHT,,,,,,,4
DEERUPT RUNNER W-SOLRED/SOLRED/BLUBIR,DEERUPT RUNNER W SOLRED/SOLRED/BLUBIR,DEERUPT,RUNNER,W,SOLRED/SOLRED/BLUBIR,,,,,,,4
PROPHERE W-CBLACK/CBLACK/SOLRED,PROPHERE W CBLACK/CBLACK/SOLRED,PROPHERE,W,CBLACK/CBLACK/SOLRED,,,,,,,,3
N-5923 J-CBLACK/FTWWHT/CBLACK,N 5923 J CBLACK/FTWWHT/CBLACK,N,5923,J,CBLACK/FTWWHT/CBLACK,,,,,,,4
PUREBOOST GO-FTWWHT/GREONE/GRETWO,PUREBOOST GO FTWWHT/GREONE/GRETWO,PUREBOOST,GO,FTWWHT/GREONE/GRETWO,,,,,,,,3
PUREBOOST GOCBLACK/GREFIV/GREFOU,PUREBOOST GOCBLACK/GREFIV/GREFOU,PUREBOOST,GOCBLACK/GREFIV/GREFOU,,,,,,,,,2
FORTAPLAY AC I-REAMAG/CHACOR/OWHITE,FORTAPLAY AC I REAMAG/CHACOR/OWHITE,FORTAPLAY,AC,I,REAMAG/CHACOR/OWHITE,,,,,,,4
FORTAPLAY AC I-CROYAL/BRBLUE/HIREOR,FORTAPLAY AC I CROYAL/BRBLUE/HIREOR,FORTAPLAY,AC,I,CROYAL/BRBLUE/HIREOR,,,,,,,4
FORTAPLAY AC I-CLELIL/FTWWHT/CLEMIN,FORTAPLAY AC I CLELIL/FTWWHT/CLEMIN,FORTAPLAY,AC,I,CLELIL/FTWWHT/CLEMIN,,,,,,,4
FORTAPLAY AC I-DKBLUE/VIVGRN/BRBLUE,FORTAPLAY AC I DKBLUE/VIVGRN/BRBLUE,FORTAPLAY,AC,I,DKBLUE/VIVGRN/BRBLUE,,,,,,,4
FORTARUN X CF K-MYSINK/HIRAQU/CROYAL,FORTARUN X CF K MYSINK/HIRAQU/CROYAL,FORTARUN,X,CF,K,MYSINK/HIRAQU/CROYAL,,,,,,5
FORTARUN X CF K-GRETHR/CLEORA/AERGRN,FORTARUN X CF K GRETHR/CLEORA/AERGRN,FORTARUN,X,CF,K,GRETHR/CLEORA/AERGRN,,,,,,5
FORTAGYM CF K-CBLACK/CBLACK/CBLACK,FORTAGYM CF K CBLACK/CBLACK/CBLACK,FORTAGYM,CF,K,CBLACK/CBLACK/CBLACK,,,,,,,4
FORTAGYM CF K-FTWWHT/FTWWHT/FTWWHT,FORTAGYM CF K FTWWHT/FTWWHT/FTWWHT,FORTAGYM,CF,K,FTWWHT/FTWWHT/FTWWHT,,,,,,,4
FORTARUN AC K-HIRERE/FTWWHT/HIRERE,FORTARUN AC K HIRERE/FTWWHT/HIRERE,FORTARUN,AC,K,HIRERE/FTWWHT/HIRERE,,,,,,,4
FORTARUN AC K-CBLACK/FTWWHT/CBLACK,FORTARUN AC K CBLACK/FTWWHT/CBLACK,FORTARUN,AC,K,CBLACK/FTWWHT/CBLACK,,,,,,,4
FORTARUN AC K-CONAVY/BLUE/FTWWHT,FORTARUN AC K CONAVY/BLUE/FTWWHT,FORTARUN,AC,K,CONAVY/BLUE/FTWWHT,,,,,,,4
FORTARUN AC K-CBLACK/CBLACK/CBLACK,FORTARUN AC K CBLACK/CBLACK/CBLACK,FORTARUN,AC,K,CBLACK/CBLACK/CBLACK,,,,,,,4
FORTARUN AC K-FTWWHT/FTWWHT/FTWWHT,FORTARUN AC K FTWWHT/FTWWHT/FTWWHT,FORTARUN,AC,K,FTWWHT/FTWWHT/FTWWHT,,,,,,,4
FORTARUN AC I-HIRERE/FTWWHT/HIRERE,FORTARUN AC I HIRERE/FTWWHT/HIRERE,FORTARUN,AC,I,HIRERE/FTWWHT/HIRERE,,,,,,,4
